,comment,machine_id,start_time,end_time,duration,name,downtime_code_id,Name_2,year,Station
1139298,break: overage,287.0,2021-01-08 14:35:00.000,2021-01-08 14:39:41.033,281.348,WLM03 ST130,219.0,break: overage,2021,
1139318,No Comment and No Reason Code,287.0,2021-01-08 14:39:41.033,2021-01-08 14:57:12.000,1050.654,WLM03 ST130,,,2021,
1139463,op90-engraver shim adjustments due to bad engraving,287.0,2021-01-08 14:57:12.000,2021-01-08 15:05:37.097,505.979,WLM03 ST130,170.0,shim moves,2021,90.0
1139494,No Comment and No Reason Code,287.0,2021-01-08 15:05:37.097,2021-01-08 15:16:55.057,677.585,WLM03 ST130,,,2021,
1139537,op 140a racking pp sensor not making ,287.0,2021-01-08 15:16:55.057,2021-01-08 15:22:49.077,354.196,WLM03 ST130,166.0,part present,2021,140.0
1139548,No Comment and No Reason Code,287.0,2021-01-08 15:22:49.077,2021-01-08 15:26:36.023,226.487,WLM03 ST130,,,2021,
1139578,op10a grob -bk mikro,287.0,2021-01-08 15:26:36.023,2021-01-08 15:39:04.090,748.641,WLM03 ST130,260.0,programming,2021,10.0
1139614,No Comment and No Reason Code,287.0,2021-01-08 15:39:04.090,2021-01-08 15:43:20.097,256.062,WLM03 ST130,,,2021,
1139672,op 75-r1 pick up adjusted due to collision ,287.0,2021-01-08 15:43:20.097,2021-01-08 15:53:36.073,615.796,WLM03 ST130,148.0,robot clamp,2021,75.0
1139710,No Comment and No Reason Code,287.0,2021-01-08 15:53:36.073,2021-01-08 16:45:18.057,3101.83,WLM03 ST130,,,2021,
1139919,op 105_pp30 not made,287.0,2021-01-08 16:45:18.057,2021-01-08 16:54:23.053,544.963,WLM03 ST130,166.0,part present,2021,105.0
1139937,No Comment and No Reason Code,287.0,2021-01-08 16:54:23.053,2021-01-08 16:59:57.033,333.796,WLM03 ST130,,,2021,
